thesis_category,political_leaning,sentence_count,Fear_Score,Anger_Score,Joy_Score,Sadness_Score,Disgust_Score,Surprise_Score,Neutral_Score
Border Enforcement & Policy,Conservative,6971,0.08589356719464565,0.1185250810121447,0.01861796224936206,0.03106029536619167,0.08978218811043126,0.06950575677719606,0.5866151492585596
Border Enforcement & Policy,Liberal,1758,0.07627909160672411,0.11710819227271846,0.016741179959763496,0.03114747734094993,0.10183896979293759,0.05156893638006742,0.6053161539482503
Border Enforcement & Policy,Moderate,2212,0.07969117949075831,0.09854794100130518,0.016705653402339843,0.034734087413292467,0.08142887770343962,0.05338221961039979,0.6355100412589707
Crime & Security Narrative,Conservative,5876,0.10886404230117604,0.15690950178966806,0.011058513830450813,0.04413928122539739,0.18840006997993086,0.05177328149440025,0.4388553091599896
Crime & Security Narrative,Liberal,871,0.10720024450772188,0.16480077664318668,0.008768892366988836,0.03202504742955821,0.20671240476935238,0.03206414193939845,0.4484284965729878
Crime & Security Narrative,Moderate,1136,0.10952210075660153,0.11479050912287637,0.016309025466987703,0.04838732910266885,0.14735403010680284,0.05365639878611136,0.509980606007368
Economic & Social Impact,Conservative,3449,0.04113906395698589,0.11602605801282538,0.01986171464860812,0.04237615137337565,0.11907106880698716,0.07648515613452526,0.585040787400142
Economic & Social Impact,Liberal,887,0.03765063769690138,0.09152262489281998,0.02650988915170125,0.0376671730362723,0.10808243571671425,0.059980856118594605,0.6385863829528012
Economic & Social Impact,Moderate,944,0.045229975561504314,0.07805737634050074,0.022796951354424798,0.033461885833353106,0.09511965115863427,0.062009306207150755,0.6633248549801696
Humanitarian & Asylum System,Conservative,4935,0.05929303587091263,0.10785973919356212,0.02599423564296417,0.04569505933157226,0.11894565237407208,0.0635434792367442,0.5786687986063276
Humanitarian & Asylum System,Liberal,1974,0.06770502197474046,0.09047636905504133,0.030790707685832162,0.04566842408711256,0.11886267287948234,0.05435627754458029,0.5921405267846519
Humanitarian & Asylum System,Moderate,1388,0.07467111963600086,0.08684053803426388,0.022809015913929028,0.04163081407610237,0.09872611341113963,0.06088542525826112,0.6144369763966065
Identity & Assimilation,Conservative,5334,0.03991963480995831,0.11084044270067611,0.04071112219324558,0.03265007855432188,0.1408643409309961,0.0703385762470988,0.5646758056720986
Identity & Assimilation,Liberal,2164,0.05754402113959298,0.09525766585054166,0.05239566419737716,0.033951488263419156,0.12757339304320434,0.06180361012707138,0.5714741601600786
Identity & Assimilation,Moderate,1747,0.04287788532065914,0.08304727499424701,0.04243907724139249,0.03085939228513641,0.11013524440788817,0.07143031520319598,0.6192108101562533
International Refugee Context,Conservative,3087,0.10243625960882868,0.1210607814217218,0.033156204772996606,0.04347825403802913,0.12446233033934606,0.06821969284018779,0.5071864768517268
International Refugee Context,Liberal,1650,0.10853325577712067,0.08619502264413643,0.03622529378497733,0.05092381416647131,0.13189102845405806,0.06124999268297953,0.5249815914574587
International Refugee Context,Moderate,1802,0.0896875062188238,0.09917232331036323,0.026470038718706748,0.039973897033338215,0.11944713797751033,0.06715818718329966,0.5580909116721849
Partisan Politics & Elections,Conservative,12293,0.055466080959946824,0.1174424599691615,0.01932877067372937,0.028997031476074082,0.13313361848519945,0.07048969378956767,0.5751423435675144
Partisan Politics & Elections,Liberal,4742,0.06343462271985338,0.11409295465415092,0.020402226865357437,0.024573623982198436,0.14609629102279573,0.056370937968010654,0.5750293433266803
Partisan Politics & Elections,Moderate,4843,0.048744148633253596,0.08918704888787722,0.019072927310433262,0.02695655971383557,0.10921868767951148,0.060129325074993106,0.6466913029382808
Viral Incidents & Culture War,Conservative,3720,0.06006652604225555,0.12789980248514918,0.024694859969465036,0.03242066447133003,0.14696748867339607,0.09383258368265728,0.5141180739781547
Viral Incidents & Culture War,Liberal,1545,0.07503287540114836,0.16690774311135978,0.020217568751780202,0.024744525405316097,0.25839975330391657,0.044952077964248445,0.4097454549963239
Viral Incidents & Culture War,Moderate,974,0.0720787500399423,0.13289662389057447,0.01689009361155642,0.03238439412732098,0.18215256558099638,0.06219550478445448,0.5014020707532959
