period,Liberal,Moderate,Conservative
2022-12-26,0,1,0
2023-01-02,87,51,297
2023-01-09,122,215,287
2023-01-16,21,47,201
2023-01-23,39,42,118
2023-01-30,44,42,268
2023-02-06,71,61,209
2023-02-13,55,48,182
2023-02-20,54,28,92
2023-02-27,50,150,92
2023-03-06,85,88,91
2023-03-13,97,36,127
2023-03-20,17,50,60
2023-03-27,98,78,98
2023-04-03,49,30,114
2023-04-10,51,42,70
2023-04-17,24,52,130
2023-04-24,36,53,210
2023-05-01,99,150,408
2023-05-08,184,521,687
2023-05-15,166,170,379
2023-05-22,58,103,270
2023-05-29,144,75,135
2023-06-05,22,31,223
2023-06-12,70,49,123
2023-06-19,32,79,81
2023-06-26,58,51,106
2023-07-03,53,96,111
2023-07-10,47,29,134
2023-07-17,62,185,122
2023-07-24,52,91,215
2023-07-31,59,83,284
2023-08-07,28,91,356
2023-08-14,48,65,207
2023-08-21,51,26,127
2023-08-28,25,137,229
2023-09-04,51,82,388
2023-09-11,36,181,463
2023-09-18,81,67,713
2023-09-25,80,147,420
2023-10-02,56,137,543
2023-10-09,55,146,164
2023-10-16,73,56,234
2023-10-23,49,87,339
2023-10-30,92,127,371
2023-11-06,45,70,250
2023-11-13,141,121,243
2023-11-20,116,109,206
2023-11-27,103,165,464
2023-12-04,57,184,323
2023-12-11,103,165,213
2023-12-18,123,283,596
2023-12-25,55,152,385
2024-01-01,135,125,580
2024-01-08,112,98,521
2024-01-15,150,162,547
2024-01-22,190,194,669
2024-01-29,258,376,871
2024-02-05,328,282,1046
2024-02-12,262,245,473
2024-02-19,197,128,625
2024-02-26,246,274,1072
2024-03-04,143,158,881
2024-03-11,142,226,797
2024-03-18,238,335,613
2024-03-25,184,60,601
2024-04-01,159,97,595
2024-04-08,405,91,498
2024-04-15,106,172,367
2024-04-22,41,114,220
2024-04-29,98,110,412
2024-05-06,224,84,463
2024-05-13,106,233,301
2024-05-20,79,114,295
2024-05-27,116,75,202
2024-06-03,198,487,684
2024-06-10,280,204,613
2024-06-17,324,551,958
2024-06-24,317,245,547
2024-07-01,63,86,213
2024-07-08,110,140,345
2024-07-15,171,159,232
2024-07-22,134,167,324
2024-07-29,197,178,363
2024-08-05,173,221,454
2024-08-12,179,357,597
2024-08-19,219,228,481
2024-08-26,76,176,533
2024-09-02,139,203,584
2024-09-09,577,360,1270
2024-09-16,564,442,628
2024-09-23,391,223,651
2024-09-30,452,271,716
2024-10-07,393,254,560
2024-10-14,404,241,1039
2024-10-21,287,193,536
2024-10-28,358,193,490
2024-11-04,32,16,84
