date,political_leaning,thesis_category,count
2016-01-01,Conservative,Crime & Security Narrative,1
2016-01-01,Conservative,Humanitarian & Asylum System,6
2016-01-01,Conservative,Partisan Politics & Elections,2
2016-01-01,Conservative,Unmapped,6
2016-01-08,Liberal,Unmapped,2
2016-01-15,Liberal,Identity & Assimilation,1
2016-01-15,Liberal,Unmapped,2
2016-01-22,Liberal,Partisan Politics & Elections,1
2016-01-22,Liberal,Unmapped,1
2016-01-29,Conservative,Border Enforcement & Policy,4
2016-01-29,Conservative,Identity & Assimilation,4
2016-01-29,Conservative,International Refugee Context,2
2016-01-29,Conservative,Partisan Politics & Elections,5
2016-01-29,Conservative,Unmapped,4
2016-02-02,Liberal,Identity & Assimilation,1
2016-02-05,Conservative,Unmapped,1
2016-02-12,Liberal,Unmapped,3
2016-02-26,Conservative,Border Enforcement & Policy,1
2016-02-26,Conservative,Crime & Security Narrative,1
2016-02-26,Conservative,Identity & Assimilation,4
2016-02-26,Conservative,Partisan Politics & Elections,2
2016-02-26,Conservative,Unmapped,6
2016-02-26,Liberal,Partisan Politics & Elections,5
2016-02-26,Liberal,Unmapped,1
2016-03-02,Liberal,Partisan Politics & Elections,1
2016-03-04,Liberal,Unmapped,1
2016-03-10,Liberal,Identity & Assimilation,1
2016-03-15,Liberal,Unmapped,1
2016-03-17,Liberal,Crime & Security Narrative,1
2016-03-24,Liberal,Humanitarian & Asylum System,2
2016-03-24,Liberal,Identity & Assimilation,2
2016-03-24,Liberal,International Refugee Context,2
2016-03-24,Liberal,Unmapped,4
2016-04-01,Conservative,Humanitarian & Asylum System,1
2016-04-01,Conservative,International Refugee Context,1
2016-04-01,Conservative,Unmapped,2
2016-04-07,Liberal,Border Enforcement & Policy,1
2016-04-07,Liberal,Partisan Politics & Elections,2
2016-04-07,Liberal,Unmapped,5
2016-04-08,Conservative,Partisan Politics & Elections,1
2016-04-14,Liberal,Partisan Politics & Elections,2
2016-04-15,Conservative,Economic & Social Impact,1
2016-04-15,Conservative,Identity & Assimilation,4
2016-04-15,Conservative,Partisan Politics & Elections,1
2016-04-15,Conservative,Unmapped,3
2016-04-21,Liberal,Border Enforcement & Policy,3
2016-04-21,Liberal,Crime & Security Narrative,3
2016-04-21,Liberal,Unmapped,3
2016-04-28,Liberal,Identity & Assimilation,1
2016-04-28,Liberal,Unmapped,1
2016-05-05,Liberal,Partisan Politics & Elections,2
2016-05-05,Liberal,Unmapped,4
2016-05-06,Moderate,Partisan Politics & Elections,1
2016-05-12,Liberal,Partisan Politics & Elections,1
2016-05-12,Moderate,Partisan Politics & Elections,1
2016-05-12,Moderate,Unmapped,1
2016-05-19,Liberal,Unmapped,1
2016-06-09,Liberal,Unmapped,1
2016-06-16,Liberal,Crime & Security Narrative,3
2016-06-16,Liberal,International Refugee Context,4
2016-06-16,Liberal,Partisan Politics & Elections,2
2016-06-16,Liberal,Unmapped,7
2016-06-23,Liberal,Crime & Security Narrative,1
2016-06-23,Liberal,Economic & Social Impact,4
