date,political_leaning,thesis_category,count
2023-01-02,Conservative,Border Enforcement & Policy,27
2023-01-02,Conservative,Crime & Security Narrative,14
2023-01-02,Conservative,Economic & Social Impact,19
2023-01-02,Conservative,Humanitarian & Asylum System,43
2023-01-02,Conservative,Identity & Assimilation,14
2023-01-02,Conservative,International Refugee Context,8
2023-01-02,Conservative,Partisan Politics & Elections,55
2023-01-02,Conservative,Unmapped,75
2023-01-02,Conservative,Viral Incidents & Culture War,12
2023-01-02,Liberal,Border Enforcement & Policy,10
2023-01-02,Liberal,Economic & Social Impact,1
2023-01-02,Liberal,Humanitarian & Asylum System,5
2023-01-02,Liberal,Identity & Assimilation,8
2023-01-02,Liberal,International Refugee Context,1
2023-01-02,Liberal,Partisan Politics & Elections,20
2023-01-02,Liberal,Unmapped,27
2023-01-02,Liberal,Viral Incidents & Culture War,2
2023-01-02,Moderate,Border Enforcement & Policy,7
2023-01-02,Moderate,Humanitarian & Asylum System,1
2023-01-02,Moderate,Identity & Assimilation,4
2023-01-02,Moderate,International Refugee Context,4
2023-01-02,Moderate,Partisan Politics & Elections,12
2023-01-02,Moderate,Unmapped,19
2023-01-09,Conservative,Border Enforcement & Policy,27
2023-01-09,Conservative,Crime & Security Narrative,23
2023-01-09,Conservative,Economic & Social Impact,4
2023-01-09,Conservative,Humanitarian & Asylum System,10
2023-01-09,Conservative,Identity & Assimilation,22
2023-01-09,Conservative,International Refugee Context,4
2023-01-09,Conservative,Partisan Politics & Elections,62
2023-01-09,Conservative,Unmapped,85
2023-01-09,Conservative,Viral Incidents & Culture War,18
2023-01-09,Liberal,Border Enforcement & Policy,7
2023-01-09,Liberal,Crime & Security Narrative,3
2023-01-09,Liberal,Economic & Social Impact,4
2023-01-09,Liberal,Humanitarian & Asylum System,6
2023-01-09,Liberal,Identity & Assimilation,14
2023-01-09,Liberal,International Refugee Context,5
2023-01-09,Liberal,Partisan Politics & Elections,32
2023-01-09,Liberal,Unmapped,35
2023-01-09,Moderate,Border Enforcement & Policy,30
2023-01-09,Moderate,Crime & Security Narrative,2
2023-01-09,Moderate,Economic & Social Impact,5
2023-01-09,Moderate,Humanitarian & Asylum System,32
2023-01-09,Moderate,Identity & Assimilation,6
2023-01-09,Moderate,International Refugee Context,12
2023-01-09,Moderate,Partisan Politics & Elections,51
2023-01-09,Moderate,Unmapped,53
2023-01-09,Moderate,Viral Incidents & Culture War,1
2023-01-16,Conservative,Border Enforcement & Policy,15
2023-01-16,Conservative,Crime & Security Narrative,7
2023-01-16,Conservative,Economic & Social Impact,13
2023-01-16,Conservative,Humanitarian & Asylum System,4
2023-01-16,Conservative,Identity & Assimilation,10
2023-01-16,Conservative,International Refugee Context,7
2023-01-16,Conservative,Partisan Politics & Elections,20
2023-01-16,Conservative,Unmapped,87
2023-01-16,Conservative,Viral Incidents & Culture War,18
2023-01-16,Liberal,Border Enforcement & Policy,1
