Ranking,Podcast,Chartable Link,RSS Feed,Political Leaning (Brookings Institute)
1,Pod Save America,https://chartable.com/podcasts/pod-save-america,https://feeds.simplecast.com/dxZsm5kX,More Liberal
2,The Bulwark Podcast,https://chartable.com/podcasts/the-bulwark-podcast,https://audioboom.com/channels/5114286.rss,More Conservative
3,The NPR Politics Podcast,https://chartable.com/podcasts/npr-politics-podcast,https://feeds.npr.org/510310/podcast.xml,NO DATA
4,Tangle,https://chartable.com/podcasts/tangle,https://feeds.acast.com/public/shows/66510864c0852400122bc7be,
5,Bannon's War Room,https://chartable.com/podcasts/war-room-impeachment,https://listen.warroom.org/feed.xml,More Conservative
6,Candace,https://chartable.com/podcasts/candace-1750591415,https://feeds.megaphone.fm/candace,More Conservative
7,Fire and Fury - The Podcast,https://chartable.com/podcasts/fire-and-fury-the-podcast,https://web.archive.org/web/20240928191718/https://www.omnycontent.com/d/playlist/e73c998e-6e60-432f-8610-ae210140c5b1/b49fedfe-237a-4f05-a56c-b1700120e288/abfccf1c-5cf0-4e8d-a090-b1700121170d/podcast.rss,
8,Letters from an American ,https://chartable.com/podcasts/letters-from-an-american,https://api.substack.com/feed/podcast/20533.rss,
9,The Rest is Politics: US,https://chartable.com/podcasts/the-rest-is-politics-us,https://feeds.megaphone.fm/GLT5336643697,
10,FiveThirtyEight Politics ,https://chartable.com/podcasts/fivethirtyeight-politics,https://feeds.megaphone.fm/ESP8794877317,
11,Hacks On Tap,https://chartable.com/podcasts/hacks-on-tap-with-david-axelrod-and-mike-murphy,https://audioboom.com/channels/5050689.rss,
12,The Run-Up Podcast,https://chartable.com/podcasts/the-runup,https://feeds.simplecast.com/if2_udHa,
13,The MeidasTouch Podcast,https://chartable.com/podcasts/meidastouch-podcast,https://feeds.megaphone.fm/PDR2572281095,More Liberal
14,Breaking Points with Krystal and Saagar,https://chartable.com/podcasts/breaking-points,https://www.omnycontent.com/d/playlist/e73c998e-6e60-432f-8610-ae210140c5b1/e7fd5ae7-7621-4e41-9b85-b0ab0164b634/4c1a5135-4197-47c9-b19b-b0ab0164b667/podcast.rss,NO DATA
15,Verdict with Ted Cruz,https://chartable.com/podcasts/verdict-with-ted-cruz,https://www.omnycontent.com/d/playlist/e73c998e-6e60-432f-8610-ae210140c5b1/2bee9419-43de-46ce-8996-af2a01167517/84cf551f-a33b-41d8-b112-af2a01167541/podcast.rss,More Conservative
16,Raging Moderates with Scott Galloway and Jessica Tarlov,https://chartable.com/podcasts/raging-moderates-with-scott-galloway-and-jessica-tarlov,https://feeds.megaphone.fm/VMP7229898872,
17,Fast Politics with Molly Jong-Fast,https://chartable.com/podcasts/fast-politics-with-molly-jongfast,https://www.omnycontent.com/d/playlist/e73c998e-6e60-432f-8610-ae210140c5b1/5900456b-1613-453b-b072-af1201655554/e44eee4e-0508-4c4d-bca4-af120165bf69/podcast.rss,
18,The Victor Davis Hanson Show,https://chartable.com/podcasts/the-victor-davis-hanson-show,https://rss.art19.com/the-victor-davis-hanson-show,NO DATA
19,Countdown with Keith Olbermann,https://chartable.com/podcasts/countdown-with-keith-olbermann,https://www.omnycontent.com/d/playlist/e73c998e-6e60-432f-8610-ae210140c5b1/4cab918b-b4e7-4a21-8300-aec3011bf3f1/e7682aaf-443f-41d8-945f-aec3011c5127/podcast.rss,
