ID,ErrorType,Podcast,Episode
0,Error Finding Duration,Breaking-Battlegrounds,77
0,Error Finding Duration,Breaking-Battlegrounds,74
0,Error saving mp3 file,The-Beat-with-Ari-Melber,15
0,Error saving mp3 file,Stay-Free-with-Russell-Brand,74
0,Error Finding Duration,Rick-Wilson's-The-Enemies-List,185
0,Error saving mp3 file,The-Michael-Steele-Podcast,210
0,Error saving mp3 file,The-Michael-Steele-Podcast,209
0,Error saving mp3 file,The-Michael-Steele-Podcast,208
0,Error Finding Duration,The-Wright-Report,82
0,Error Finding Duration,Volts,95
0,Error Finding Duration,Volts,87
0,Error Finding Duration,Volts,78
0,Error Finding Duration,Volts,77
0,Error saving mp3 file,The-Foreign-Affairs-Interview,47
