political_leaning,entity,label,count,percentage
Conservative,Biden,PERSON,5556,0.026599768281356226
Conservative,Trump,ORG,5523,0.02644177829696372
Conservative,Buck,PERSON,4032,0.019303503547593286
Conservative,Democrats,NORP,3176,0.01520533910395741
Conservative,YouTube,GPE,2647,0.012672711778392715
Conservative,today,DATE,2173,0.010403401093482196
Conservative,Clay,PERSON,2098,0.010044332947135593
Conservative,America,GPE,1702,0.008148453134425538
Conservative,Joe Biden,PERSON,1310,0.00627172362285397
Conservative,Ukraine,GPE,1310,0.00627172362285397
Liberal,Trump,ORG,7681,0.032865938974870244
Liberal,Donald Trump,PERSON,3610,0.015446691797849445
Liberal,Biden,PERSON,2504,0.010714270432635736
Liberal,Republican,NORP,1968,0.008420800403924572
Liberal,first,ORDINAL,1760,0.007530797109200837
Liberal,American,NORP,1634,0.006991660497973959
Liberal,today,DATE,1590,0.006803390570243938
Liberal,Preet,PERSON,1588,0.00679483284625621
Liberal,Republicans,NORP,1505,0.006439687300765488
Liberal,Michael Cohen,PERSON,1419,0.006071705169293175
Moderate,today,DATE,2709,0.016004017250546464
Moderate,Biden,PERSON,2502,0.014781118922431618
Moderate,Trump,ORG,2188,0.012926094405387842
Moderate,White House,ORG,1718,0.010149465351214037
Moderate,Jonah,PERSON,1304,0.007703668694984345
Moderate,Michael,PERSON,1281,0.0075677911029715834
Moderate,Sarah,PERSON,1231,0.007272405033378626
Moderate,Donald Trump,PERSON,1207,0.007130619719974006
Moderate,first,ORDINAL,1199,0.0070833579488391325
Moderate,Trump,PERSON,1093,0.006457139481302062
