political_leaning,entity,label,count,percentage
Conservative,Biden,PERSON,1707,0.0344611781806436
Conservative,Buck Sexton,PERSON,1413,0.028525861024750677
Conservative,Clay,PERSON,1360,0.027455888884402632
Conservative,Clay Travis,PERSON,1260,0.025437073525255382
Conservative,Democrats,NORP,793,0.01600920579803771
Conservative,Daily Review,ORG,683,0.013788508902975734
Conservative,Trump,ORG,662,0.01336455767755481
Conservative,GOP,ORG,411,0.008297331126095207
Conservative,Israel,GPE,368,0.007429240521661889
Conservative,Ukraine,GPE,358,0.007227358985747163
Liberal,Trump,ORG,1233,0.05696992099062052
Liberal,Biden,PERSON,342,0.015801875895208612
Liberal,GOP,ORG,297,0.013722681698470638
Liberal,Republicans,NORP,177,0.008178163840502703
Liberal,TRUMP,ORG,176,0.008131959525019637
Liberal,MAGA,ORG,154,0.007115464584392182
Liberal,Trump,PERSON,125,0.005775539435383265
Liberal,Trump,WORK_OF_ART,100,0.004620431548306611
Liberal,2,CARDINAL,92,0.004250797024442083
Liberal,Edition,WORK_OF_ART,90,0.0041583883934759504
Moderate,Biden,PERSON,590,0.029519187471856705
Moderate,Trump,ORG,398,0.019912943413218594
Moderate,Israel,GPE,282,0.014109170961124731
Moderate,Evening Edition,WORK_OF_ART,234,0.011707609946465202
Moderate,Washington,GPE,192,0.009606244058638115
Moderate,Ukraine,GPE,187,0.009356081452944413
Moderate,GOP,ORG,169,0.00845549607244709
Moderate,US,GPE,153,0.007654975734227248
Moderate,2024,DATE,152,0.007604943213088507
Moderate,Democrats,NORP,149,0.007454845649672287
